식품코드,식품명,데이터구분코드,데이터구분명,식품기원코드,식품기원명,식품대분류코드,식품대분류명,대표식품코드,대표식품명,식품중분류코드,식품중분류명,식품소분류코드,식품소분류명,식품세분류코드,식품세분류명,유형명,영양성분제공단위량,에너지(kcal),수분(g),단백질(g),지방(g),회분(g),탄수화물(g),당류(g),식이섬유(g),칼슘(mg),철(mg),인(mg),칼륨(mg),나트륨(mg),비타민 A(μg RAE),레티놀(μg),베타카로틴(μg),티아민(mg),리보플라빈(mg),니아신(mg),비타민 C(mg),비타민 D(μg),콜레스테롤(mg),포화지방산(g),트랜스지방산(g),출처코드,출처명,1회분량,1회분량중량/부피,1일섭취횟수,섭취대상,식품중량/부피,품목제조신고번호,제조사명,수입업체명,유통업체명,수입여부,원산지국코드,원산지국명,데이터생성방법코드,데이터생성방법명,데이터생성일자,데이터기준일자
F103-001010000-0968,슈퍼 맥스 레드 알티지 오메가3,F,건강기능식품,1,건강기능식품,03,복합,03001,"복합제품(영양소, 기능성)",0300001,"복합제품(영양소, 기능성)",00,해당없음,00,해당없음,,1306mg,10,,0.00,1.30,,0.00,,,,,,,0,,,,,,,,25.00,,,,1,식품의약품안전처,1캡슐,1306mg,1회,,117.54g,22US09252G8,US PHARMATECH INC,(주)이너네이쳐,해당없음,Y,840,미국,2,수집,2022-03-11,2025-12-30
F103-001010000-0967,슈퍼 맥스 MSM 1650,F,건강기능식품,1,건강기능식품,03,복합,03001,"복합제품(영양소, 기능성)",0300001,"복합제품(영양소, 기능성)",00,해당없음,00,해당없음,,2100mg,0,,0.00,0.00,,0.00,,,,,,,0,,,,,,,,25.00,,,,1,식품의약품안전처,1정,2100mg,1회,,189g,22US34842G5,US PHARMATECH INC,주식회사 파마시뱅크,해당없음,Y,840,미국,2,수집,2022-08-16,2025-12-30
F103-002020000-0303,슈퍼 리포좀 비타민C 킹,F,건강기능식품,1,건강기능식품,03,복합,03002,복합제품류,0300002,"복합제품(영양소, 기능성)",00,해당없음,00,해당없음,,1320mg,0,,0.00,0.00,,0.00,,,,,,,0,,,,,,,1050.00,10.00,,,,1,식품의약품안전처,1정,1320mg,1회,,79.20g,25CA00447G6,NUTRA BIO CANADA,주식회사 와이즈스타코리아,해당없음,Y,124,캐나다,2,수집,2025-08-11,2025-12-30
F103-001010000-0966,슈퍼 루테인 아스타잔틴 아이 (Blue),F,건강기능식품,1,건강기능식품,03,복합,03001,"복합제품(영양소, 기능성)",0300001,"복합제품(영양소, 기능성)",00,해당없음,00,해당없음,,500mg,0,,0.00,0.00,,0.00,,,,,,,0,,,,,,,,4.00,,,,1,식품의약품안전처,1캡슐,500mg,1회,,30g,22US47436G6,B&A HEALTH PRODUCTS CO.,이지메디칼,해당없음,Y,840,미국,2,수집,2022-11-02,2025-12-30
F103-001010000-0965,슈퍼 루테인 아스타잔틴 아이,F,건강기능식품,1,건강기능식품,03,복합,03001,"복합제품(영양소, 기능성)",0300001,"복합제품(영양소, 기능성)",00,해당없음,00,해당없음,,500mg,0,,0.00,0.00,,0.00,,,,,,,0,,,,,,,,4.00,,,,1,식품의약품안전처,1캡슐,500mg,1회,,30g,23US16214G5,B&A HEALTH PRODUCTS CO.,이지메디칼,해당없음,Y,840,미국,2,수집,2023-03-14,2025-12-30
F103-001010000-0964,슈퍼 루테인 아스타잔틴 아이,F,건강기능식품,1,건강기능식품,03,복합,03001,"복합제품(영양소, 기능성)",0300001,"복합제품(영양소, 기능성)",00,해당없음,00,해당없음,,500mg,0,,0.00,0.00,,0.00,,,,,,,0,,,,,,,,4.00,,,,1,식품의약품안전처,1캡슐,500mg,1회,,30g,24US00362G6,B&A HEALTH PRODUCTS CO.,이지메디칼,해당없음,Y,840,미국,2,수집,2024-02-21,2025-12-30
F103-001010000-0962,슈퍼 락토 에이스 포르테,F,건강기능식품,1,건강기능식품,03,복합,03001,"복합제품(영양소, 기능성)",0300001,"복합제품(영양소, 기능성)",00,해당없음,00,해당없음,,500mg,0,,0.00,0.00,,0.00,,,,,,,0,,,,,,,,,,,,1,식품의약품안전처,1캡슐,500mg,1회,,30g,24US00360G0,US PHARMATECH NV INC.,(주)제1의건강,해당없음,Y,840,미국,2,수집,2024-02-21,2025-12-30
F103-001010000-0963,슈퍼 락토 에이스 포르테,F,건강기능식품,1,건강기능식품,03,복합,03001,"복합제품(영양소, 기능성)",0300001,"복합제품(영양소, 기능성)",00,해당없음,00,해당없음,,500mg,0,,0.00,0.00,,0.00,,,,,,,0,,,,,,,,,,,,1,식품의약품안전처,1캡슐,500mg,1회,,30g,24US00226G3,PROLIFE CO,천조인터내셔널,해당없음,Y,840,미국,2,수집,2024-02-02,2025-12-30
F103-001010000-0961,슈퍼 락토 에이스 포르테,F,건강기능식품,1,건강기능식품,03,복합,03001,"복합제품(영양소, 기능성)",0300001,"복합제품(영양소, 기능성)",00,해당없음,00,해당없음,,500mg,0,,0.00,0.00,,0.00,,,,,,,0,,,,,,,,,,,,1,식품의약품안전처,1캡슐,500mg,1회,,30g,22US50580G6,US PHARMATECH INC,(주)제1의건강,해당없음,Y,840,미국,2,수집,2022-11-21,2025-12-30
F103-001010000-0960,슈퍼 누네 루테인 골드,F,건강기능식품,1,건강기능식품,03,복합,03001,"복합제품(영양소, 기능성)",0300001,"복합제품(영양소, 기능성)",00,해당없음,00,해당없음,,500mg,5,,0.00,0.50,,0.00,,,,,,,0,700,,,,,,,,,,,1,식품의약품안전처,1캡슐,500mg,1회,,45g,25US01418G2,"PHIL INTER PHARMA USA, INC.",주식회사 파마시뱅크,해당없음,Y,840,미국,2,수집,2025-08-11,2025-12-30
